run_accession	study_accession	sample_accession	experiment_accession	scientific_name	experiment_title	fastq_ftp	sample_title
ERR13347116	PRJEB77209	SAMEA115805059	ERX12718016	Staphylococcus aureus	Illumina MiSeq sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/016/ERR13347116/ERR13347116_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/016/ERR13347116/ERR13347116_2.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab G Sample 13
ERR13347117	PRJEB77209	SAMEA115805060	ERX12718017	Staphylococcus aureus	Illumina MiSeq sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/017/ERR13347117/ERR13347117_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/017/ERR13347117/ERR13347117_2.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab G Sample 14
ERR13347118	PRJEB77209	SAMEA115805061	ERX12718018	Staphylococcus aureus	Illumina MiSeq sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/018/ERR13347118/ERR13347118_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/018/ERR13347118/ERR13347118_2.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab G Sample 15
ERR13347119	PRJEB77209	SAMEA115805062	ERX12718019	Staphylococcus aureus	Illumina MiSeq sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/019/ERR13347119/ERR13347119_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/019/ERR13347119/ERR13347119_2.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab G Sample 16
ERR13347120	PRJEB77209	SAMEA115805063	ERX12718020	Staphylococcus aureus	Illumina MiSeq sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/020/ERR13347120/ERR13347120_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/020/ERR13347120/ERR13347120_2.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab G Sample 17
ERR13347129	PRJEB77209	SAMEA115805072	ERX12718029	Staphylococcus aureus	Illumina MiSeq sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/029/ERR13347129/ERR13347129_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/029/ERR13347129/ERR13347129_2.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab H Sample 07
ERR13347131	PRJEB77209	SAMEA115805074	ERX12718031	Staphylococcus aureus	Illumina MiSeq sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/031/ERR13347131/ERR13347131_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/031/ERR13347131/ERR13347131_2.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab H Sample 09
ERR13347134	PRJEB77209	SAMEA115805077	ERX12718034	Staphylococcus aureus	Illumina MiSeq sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/034/ERR13347134/ERR13347134_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/034/ERR13347134/ERR13347134_2.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab H Sample 12
ERR13347139	PRJEB77209	SAMEA115805082	ERX12718039	Staphylococcus aureus	Illumina MiSeq sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/039/ERR13347139/ERR13347139_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/039/ERR13347139/ERR13347139_2.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab H Sample 17
ERR13347141	PRJEB77209	SAMEA115805084	ERX12718041	Staphylococcus aureus	Illumina MiSeq sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/041/ERR13347141/ERR13347141_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/041/ERR13347141/ERR13347141_2.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab H Sample 19
